PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Agonist Activity,Agonist Potency (uM),Agonist Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source,OPENADMET_CANONICAL_SMILES,INCHIKEY
11,144212047.0,170286.0,C=CC(=O)OCCN1C(=O)N(C(=O)N(C1=O)CCOC(=O)C=C)CCOC(=O)C=C,Active,81.0,,,active agonist,active agonist,9.323774085,488.3562754,active antagonist,24.3365,-86.9417,SIGMA,C=CC(=O)OCCN1C(=O)N(CCOC(=O)C=C)C(=O)N(CCOC(=O)C=C)C1=O,YIJYFLXQHDOQGW-UHFFFAOYSA-N
12,170465856.0,5265.0,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F,Active,80.0,,,active agonist,active agonist,3.757803573,341.1248627,active antagonist,4.55268,-74.7368,Enzo,O=C(CCCN1CCC2(CC1)C(=O)NCN2C1=CC=CC=C1)C1=CC=C(F)C=C1,DKGZKTPJOSAWFA-UHFFFAOYSA-N
13,144212716.0,47936.0,CC(=O)O[C@H]1[C@H]([C@@H]2[C@]([C@H](CCC2(C)C)O)([C@@]3([C@@]1(O[C@@](CC3=O)(C)C=C)C)O)C)O,Active,79.0,,,active agonist,active agonist,1.422083426,258.3687683,inactive,,0,SIGMA,C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1,OHCQJHSOBUTRHG-KGGHGJDLSA-N
14,170466454.0,68186.0,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCOC4=CC=C(C=C4)F,Active,76.0,,,active agonist,active agonist,5.955717301,363.0826005,active antagonist,6.43084,-74.008,Tocris,O=C1NCN(C2=CC=CC=C2)C12CCN(CCCOC1=CC=C(F)C=C1)CC2,FJUKDAZEABGEIH-UHFFFAOYSA-N
15,170466087.0,4122.0,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,Active,76.0,,,active agonist,active agonist,27.64399094,780.57572,active antagonist,4.91587,-44.9958,"Prestwick Chemical, Inc.",COC(=O)NC1=NC2=CC(C(=O)C3=CC=CS3)=CC=C2N1,KYRVNWMVYQXFEU-UHFFFAOYSA-N
16,144207711.0,197873.0,C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N.Cl,Active,75.0,,,active agonist,active agonist,3.857077889,304.2199794,active agonist,28.3743,477.046,SigmaAldrich,NC1=CC=C2C=C3C=CC(N)=CC3=NC2=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N
17,170465087.0,387447.0,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,Active,73.0,,,active agonist,active agonist,0.008095942,97.69043536,active antagonist,0.0287255,-107.095,Selleck,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,GXJABQQUPOEUTA-RDJZCZTQSA-N
18,170464975.0,444036.0,CCC(=O)O[C@@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C)C(=O)SCF,Active,73.0,,,active agonist,active agonist,0.211316824,152.7083007,inactive,,0,"Prestwick Chemical, Inc.",CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,WMWTYOKRWGGJOA-CENSZEJFSA-N
19,170466094.0,47936.0,CC(=O)O[C@H]1[C@H]([C@@H]2[C@]([C@H](CCC2(C)C)O)([C@@]3([C@@]1(O[C@@](CC3=O)(C)C=C)C)O)C)O,Active,72.0,,,active agonist,active agonist,5.731488284,318.4015968,inactive,,0,Microsource,C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1,OHCQJHSOBUTRHG-KGGHGJDLSA-N
20,170465184.0,4477.0,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,Active,71.0,,,active agonist,active agonist,0.580242756,169.0006199,active antagonist,0.730482,-57.5898,Vitas,O=C(NC1=CC=C([N+](=O)[O-])C=C1Cl)C1=CC(Cl)=CC=C1O,RJMUSRYZPJIFPJ-UHFFFAOYSA-N
22,170464666.0,441336.0,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C,Active,71.0,,,active agonist,active agonist,28.72548758,701.6880098,inconclusive antagonist,28.1796,-47.4973,"Prestwick Chemical, Inc.",C[C@@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)C1=CC=CO1)C(=O)CCl,DQTQVEGUWIUSSO-ZULDAHANSA-N
23,170466878.0,11556711.0,CC(C)C[C@@H](C(=O)[C@]1(CO1)C)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC3=CC=CC=C3)NC(=O)CN4CCOCC4,Active,70.0,,,active agonist,active agonist,0.04216325,109.6803165,active antagonist,0.0943918,-82.1998,Sequoia,CC(C)C[C@H](NC(=O)[C@H](CCC1=CC=CC=C1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1,BLMPQMFVWMYDKT-NZTKNTHTSA-N
24,144213428.0,1318.0,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,Active,70.0,,,active agonist,active agonist,15.35530365,453.3579624,active antagonist,2.27775,-45.5003,SIGMA,C1=CN=C2C(=C1)C=CC1=CC=CN=C12,DGEZNRSVGBDHLK-UHFFFAOYSA-N
25,144209798.0,16682804.0,CC(=O)O[Sn](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,Active,69.0,,,active agonist,active agonist,0.243365162,137.6621407,active antagonist,0.524314,-90.9939,SIGMA,C1=CC=[C]([Sn+]([C]2=CC=CC=C2)[C]2=CC=CC=C2)C=C1,XBRCDWHXULVEFB-UHFFFAOYSA-N
26,144210199.0,16682746.0,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,Active,69.0,,,active agonist,active agonist,0.247229599,133.8015981,active antagonist,0.37708,-90.5278,SigmaAldrich,CCC[CH2][Sn+]([CH2]CCC)[CH2]CCC,LSKGFBJLYWXIOF-UHFFFAOYSA-N
27,144210902.0,5280961.0,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,Active,69.0,,,active agonist,active agonist,43.27712571,964.0702182,inconclusive antagonist,48.5577,-35.4068,LightBiologicals,O=C1C(C2=CC=C(O)C=C2)=COC2=CC(O)=CC(O)=C12,TZBJGXHYKVUXJN-UHFFFAOYSA-N
28,170466262.0,68909.0,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2OC(F)F)C(=O)OC,Active,68.0,,,active agonist,active agonist,2.033608783,199.5502705,inconclusive antagonist,,,Enamine,COC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1C1=CC=CC=C1OC(F)F,XSEHDLCUCAKVSS-UHFFFAOYSA-N
29,170466472.0,24405.0,CC(=CCNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)C,Active,66.0,,,active agonist,active agonist,4.73079441,234.7493682,active antagonist,6.18872,-67.8099,GVK,CC(C)=CCNC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,USVMJSALORZVDV-SDBHATRESA-N
30,170464695.0,16051942.0,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@H]3[C@H](C[C@@]2([C@@]1(C)C(=O)OC)C)O)C,Active,65.0,,,active agonist,active agonist,1.439684765,165.7764461,inactive,,0,"Prestwick Chemical, Inc.",COC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,CFANPNLIIMOXME-ZVXCBTRXSA-N
31,144211603.0,2723715.0,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.O.Cl,Active,65.0,,,active agonist,active agonist,5.243143474,237.7541852,active antagonist,0.544827,-41.8406,Enamine,C1=CN=C2C(=C1)C=CC1=CC=CN=C12,DGEZNRSVGBDHLK-UHFFFAOYSA-N
32,170464914.0,4030.0,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,Active,65.0,,,active agonist,active agonist,5.515701336,239.7495458,inactive,,0,Microsource,COC(=O)NC1=NC2=CC(C(=O)C3=CC=CC=C3)=CC=C2N1,OPXLLQIJSORQAM-UHFFFAOYSA-N
33,170464694.0,3108.0,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,Active,65.0,,,active agonist,active agonist,11.88321829,332.39416,active agonist,15.5454,774.112,Enzo,OCCN(CCO)C1=NC(N2CCCCC2)=C2N=C(N(CCO)CCO)N=C(N3CCCCC3)C2=N1,IZEKFCXSFNUWAM-UHFFFAOYSA-N
34,144212652.0,5281607.0,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,Active,65.0,,,active agonist,active agonist,37.1186132,719.2869662,active antagonist,48.5577,-71.6096,SIGMA,O=C1C=C(C2=CC=CC=C2)OC2=CC(O)=CC(O)=C12,RTIXKCRFFJGDFG-UHFFFAOYSA-N
35,144211066.0,4477.0,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,Active,64.0,,,active agonist,active agonist,0.524314347,128.647249,active antagonist,0.932377,-61.0795,SIGMA,O=C(NC1=CC=C([N+](=O)[O-])C=C1Cl)C1=CC(Cl)=CC=C1O,RJMUSRYZPJIFPJ-UHFFFAOYSA-N
36,170465595.0,153997.0,C1CN(CCN1C[C@H](COC2=CC=CC3=C2C=CC=N3)O)C4C5=CC=CC=C5[C@H]6[C@H](C6(F)F)C7=CC=CC=C47.Cl.Cl.Cl,Active,64.0,,,active agonist,active agonist,2.764399094,187.8603456,active antagonist,25.6016,-87.4828,Selleck,O[C@@H](COC1=CC=CC2=NC=CC=C12)CN1CCN(C2C3=CC=CC=C3[C@@H]3[C@H](C4=CC=CC=C42)C3(F)F)CC1,IHOVFYSQUDPMCN-XAKVHENESA-N
37,144208019.0,11921.0,C1=CC=C(C(=C1)CCl)[N+](=O)[O-],Active,63.0,,,active agonist,active agonist,0.034761148,81.61898131,inactive,,0,SIGMA,O=[N+]([O-])C1=CC=CC=C1CCl,BXCBUWKTXLWPSB-UHFFFAOYSA-N
38,144212558.0,9786.0,C1=CC=C(C=C1)[Sn](C2=CC=CC=C2)(C3=CC=CC=C3)F,Active,63.0,,,active agonist,active agonist,0.147771861,100.384676,active antagonist,0.186034,-95.908,LightBiologicals,C1=CC=[C]([Sn+]([C]2=CC=CC=C2)[C]2=CC=CC=C2)C=C1,XBRCDWHXULVEFB-UHFFFAOYSA-N
39,170466656.0,6450551.0,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4,Active,63.0,,,active agonist,active agonist,0.779113522,130.3907503,active antagonist,26.6032,-52.5754,Sequoia,CNC(=O)C1=CC=CC=C1SC1=CC2=NNC(/C=C/C3=CC=CC=N3)=C2C=C1,RITAVMQDGBJQJZ-FMIVXFBMSA-N
40,170466811.0,3747.0,CC(C)OC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=CC=C3,Active,63.0,,,active agonist,active agonist,1.283120398,151.110754,inconclusive antagonist,,,SIGMA,CC(C)OC1=CC=C2C(=O)C(C3=CC=CC=C3)=COC2=C1,SFBODOKJTYAUCM-UHFFFAOYSA-N
41,144206828.0,3309.0,CCN1C(C2=CC=CC=C2C1=O)NC3=CC=C(C=C3)OCCN4CCCCC4,Active,63.0,,,active agonist,active agonist,2.463773286,174.612488,inconclusive antagonist,26.6032,-39.6999,Pharmaron,CCN1C(=O)C2=CC=CC=C2C1NC1=CC=C(OCCN2CCCCC2)C=C1,ITIONVBQFUNVJV-UHFFFAOYSA-N
42,144213666.0,10068207.0,CC1=C(C2=C(O1)C(=CC=C2)NC(=O)C3=C(C=CC=C3Cl)Cl)C(C)(C)O,Active,63.0,,,active agonist,active agonist,2.528861677,177.5549389,active antagonist,11.4158,-55.6049,Astellas Pharma,CC1=C(C(C)(C)O)C2=CC=CC(NC(=O)C3=C(Cl)C=CC=C3Cl)=C2O1,GCAOVMKRBUCSET-UHFFFAOYSA-N
43,144213826.0,25015677.0,CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2)NC3=NC=C4C(=N3)N(CC(C(=O)N4C)(F)F)C5CCCC5)OC,Active,63.0,,,active agonist,active agonist,14.06850512,330.8177015,active antagonist,9.97314,-100.997,Roche,COC1=CC(C(=O)NC2CCN(C)CC2)=CC=C1NC1=NC=C2C(=N1)N(C1CCCC1)CC(F)(F)C(=O)N2C,DJNZZLZKAXGMMC-UHFFFAOYSA-N
44,170465074.0,62960.0,CS(=O)(=O)O.C1[C@@H]2[C@@H](C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F,Active,63.0,,,active agonist,active agonist,18.83363177,384.351816,active antagonist,14.1232,-62.7592,Tocris,NC1[C@H]2CN(C3=NC4=C(C=C3F)C(=O)C(C(=O)O)=CN4C3=CC=C(F)C=C3F)C[C@@H]12,WVPSKSLAZQPAKQ-SOSAQKQKSA-N
45,144208953.0,5934.0,CC1=CC(=CC=C1)N=NC2=CC=C(C=C2)N(C)C,Active,62.0,,,active agonist,active agonist,0.753312087,127.9994393,active antagonist,78.2783,-77.169,Sensient,CC1=CC=CC(N=NC2=CC=C(N(C)C)C=C2)=C1,LVTFSVIRYMXRSR-UHFFFAOYSA-N
46,251919721.0,11159021.0,C1=CC(=C(C(=C1)Cl)C(=O)NCC2=C(C=C(C=N2)C(F)(F)F)Cl)Cl,Active,62.0,,,active agonist,active agonist,2.627796573,169.3556788,inactive,,0,Sigma Chemical Company,O=C(NCC1=NC=C(C(F)(F)F)C=C1Cl)C1=C(Cl)C=CC=C1Cl,GBOYJIHYACSLGN-UHFFFAOYSA-N
47,170465090.0,41684.0,CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-],Active,62.0,,,active agonist,active agonist,6.682424721,227.2821628,active antagonist,14.9601,-75.5844,Vitas,CC(=O)OC1=CC=CC=C1C(=O)NC1=NC=C([N+](=O)[O-])S1,YQNQNVDNTFHQSW-UHFFFAOYSA-N
48,144208626.0,5280961.0,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,Active,62.0,,,active agonist,active agonist,51.52630394,938.7004889,inconclusive antagonist,53.5421,-37.8029,SigmaAldrich,O=C1C(C2=CC=C(O)C=C2)=COC2=CC(O)=CC(O)=C12,TZBJGXHYKVUXJN-UHFFFAOYSA-N
49,170466862.0,11219835.0,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC(=CC=C3)C(=O)O)F,Active,61.0,,,active agonist,active agonist,0.004466158,59.72380546,inactive,,0,Selleck,O=C(O)C1=CC=CC(C2=NOC(C3=CC=CC=C3F)=N2)=C1,OOUGLTULBSNHNF-UHFFFAOYSA-N
50,144211013.0,73672.0,CCC(C)(CC)C1=NOC(=C1)NC(=O)C2=C(C=CC=C2OC)OC,Active,61.0,,,active agonist,active agonist,3.308685407,173.6942484,inactive,,0,SIGMA,CCC(C)(CC)C1=NOC(NC(=O)C2=C(OC)C=CC=C2OC)=C1,PMHURSZHKKJGBM-UHFFFAOYSA-N
51,170466897.0,135565635.0,CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(N3)C=CC(=C4)O)N,Active,61.0,,,active agonist,active agonist,4.73079441,189.3686363,active antagonist,0.491587,-42.8658,Tocris,CC(C)N1N=C(C2=CC3=CC(O)=CC=C3N2)C2=C(N)N=CN=C21,MFAQYJIYDMLAIM-UHFFFAOYSA-N
52,144212218.0,20848.0,CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-],Active,61.0,,,active agonist,active agonist,6.600726558,212.5532269,inconclusive antagonist,,,LightBiologicals,CCCN(CCC)C1=C([N+](=O)[O-])C=C(S(C)(=O)=O)C=C1[N+](=O)[O-],UMKANAFDOQQUKE-UHFFFAOYSA-N
53,170466192.0,42725.0,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)N,Active,61.0,,,active agonist,active agonist,13.85481535,294.9710036,active antagonist,10.5909,-37.7152,Specs,NC1=CC=C(C(=O)NC2=CC=CC=C2N)C=C1,QGMGHALXLXKCBD-UHFFFAOYSA-N
54,170464773.0,92727.0,CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O,Active,61.0,,,active agonist,active agonist,16.78549199,324.1074896,active antagonist,25.6016,-81.2111,Bosche,CC1=CC=CC(C)=C1OCC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@H](CC1=CC=CC=C1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,KJHKTHWMRKYKJE-SUGCFTRWSA-N
55,170466848.0,5280961.0,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,Active,61.0,,,active agonist,active agonist,29.84929478,496.3526409,inactive,,0,Vitas,O=C1C(C2=CC=C(O)C=C2)=COC2=CC(O)=CC(O)=C12,TZBJGXHYKVUXJN-UHFFFAOYSA-N
56,170465145.0,119182.0,C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)F)Cl)N,Active,60.0,,,active agonist,active agonist,0.721551625,112.331949,inactive,,0,Sequoia,NC1=NC(Cl)=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,WDDPHFBMKLOVOX-AYQXTPAHSA-N
57,144208178.0,11990.0,C1=CC=C(C(=C1)N)N.Cl.Cl,Active,60.0,,,active agonist,active agonist,3.518185651,165.7075614,active antagonist,1.29714,-46.1997,Alfa Aesar,NC1=CC=CC=C1N,GEYOCULIXLDCMW-UHFFFAOYSA-N
58,144211781.0,67277.0,C1=CC=C2C=C(C(=CC2=C1)C(=O)NC3=CC(=CC=C3)[N+](=O)[O-])O,Active,60.0,,,active agonist,active agonist,5.661416092,199.0778353,active antagonist,4.32771,-62.2621,LightBiologicals,O=C(NC1=CC=CC([N+](=O)[O-])=C1)C1=CC2=CC=CC=C2C=C1O,YZJSKRBKHCLMQC-UHFFFAOYSA-N
59,144208772.0,73672.0,CCC(C)(CC)C1=NOC(=C1)NC(=O)C2=C(C=CC=C2OC)OC,Active,60.0,,,active agonist,active agonist,7.14905042,213.7609874,inactive,,0,SigmaAldrich,CCC(C)(CC)C1=NOC(NC(=O)C2=C(OC)C=CC=C2OC)=C1,PMHURSZHKKJGBM-UHFFFAOYSA-N
60,170466008.0,119583.0,CCOC1=CC(=C(C=C1C(=O)NCC2CN(CCO2)CC3=CC=C(C=C3)F)Cl)N.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Active,60.0,,,active agonist,active agonist,8.412674293,222.0800449,active antagonist,28.7255,-41.8679,Vitas,CCOC1=CC(N)=C(Cl)C=C1C(=O)NCC1CN(CC2=CC=C(F)C=C2)CCO1,YPELFRMCRYSPKZ-UHFFFAOYSA-N
61,144212741.0,20906.0,C1=CC(=CC(=C1)NC(=O)C2=C(C(=CC(=C2)Br)Br)O)C(F)(F)F,Active,60.0,,,active agonist,active agonist,11.73793613,262.9192253,active antagonist,1.86034,-58.8756,MP Biomedicals,O=C(NC1=CC=CC(C(F)(F)F)=C1)C1=CC(Br)=CC(Br)=C1O,VYKKDKFTDMVOBU-UHFFFAOYSA-N
62,144208876.0,2724385.0,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,Active,59.0,,,active agonist,active agonist,0.038610007,68.05358708,inconclusive antagonist,0.0229985,-32.6944,SIGMA,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,LTMHDMANZUZIPE-PUGKRICDSA-N
63,144211071.0,6327657.0,C1=CC=C(C=C1)[Sn](C2=CC=CC=C2)C3=CC=CC=C3.O,Active,59.0,,,active agonist,active agonist,0.121971512,80.56546421,active antagonist,0.165803,-93.3978,SIGMA,C1=CC=[C]([Sn]([C]2=CC=CC=C2)[C]2=CC=CC=C2)C=C1,SBXWFLISHPUINY-UHFFFAOYSA-N
64,144209427.0,24633.0,[Cl-].[Cl-].[Cd+2],Active,59.0,,,active agonist,active agonist,0.151861049,82.91499013,active antagonist,1.21102,-109.317,SIGMA,[Cd+2],WLZRMCYVCSSEQC-UHFFFAOYSA-N
65,170465390.0,3062316.0,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,Active,59.0,,,active agonist,active agonist,0.161535288,84.63624386,active antagonist,8.09594,-59.3156,Selleck,CC1=NC(NC2=NC=C(C(=O)NC3=C(C)C=CC=C3Cl)S2)=CC(N2CCN(CCO)CC2)=N1,ZBNZXTGUTAYRHI-UHFFFAOYSA-N
66,144211050.0,12932.0,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1,Active,59.0,,,active agonist,active agonist,0.588290374,100.9506731,active antagonist,63.5221,-74.7753,SIGMA,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1,RRNIZKPFKNDSRS-UHFFFAOYSA-N
